Rank;Global Rank;Institution;Country;Sector;Best Country Quartile
353;7617;Universidade Estadual de Mato Grosso do Sul;BRA;Universities;3
354;7625;Escuela Superior Politecnica de Chimborazo;ECU;Universities;2
354;7625;Universidad de Las Americas, Chile;CHL;Universities;3
356;7653;Colegio de Postgraduados;MEX;Universities;2
356;7653;Instituto Federal de Educacao, Ciencia e Tecnologia de Minas Gerais;BRA;Universities;2
358;7677;Universidad Catolica de Santiago de Guayaquil;ECU;Universities;3
358;7677;Universidade Estadual do Piaui;BRA;Universities;3
360;7689;Universidad Autonoma de Campeche;MEX;Universities;2
361;7699;Universidad Catolica de Santa Maria;PER;Universities;2
362;7708;Universidad Simon Bolivar, Caracas;VEN;Universities;2
363;7712;Universidad Nacional Federico Villarreal;PER;Universities;2
364;7726;Universidade Federal de Roraima;BRA;Universities;3
365;7747;Universidade de Santo Amaro;BRA;Universities;3
366;7757;Universidade Estadual da Paraiba;BRA;Universities;3
367;7771;Universidade Cidade de Sao Paulo;BRA;Universities;2
368;7786;Universidad de Investigacion de Tecnologia Experimental Yachay;ECU;Universities;2
369;7803;Universidade do Estado de Minas Gerais;BRA;Universities;3
370;7809;Universidad Autonoma de Nayarit;MEX;Universities;3
371;7821;Universidade Catolica de Pelotas;BRA;Universities;3
372;7826;Universidad Espiritu Santo;ECU;Universities;1
373;7843;Universidade Federal do Acre;BRA;Universities;3
374;7867;Pontificia Universidade Catolica de Goias;BRA;Universities;3
375;7881;Universidad de Sucre;COL;Universities;3
375;7881;Universidad Nacional de San Juan *;ARG;Universities;3
377;7890;Fundacion Universitaria de Ciencias de la Salud;COL;Universities;3
378;7904;Instituto Federal de Educacao, Ciencia e Tecnologia do Parana;BRA;Universities;3
379;7934;Universidad de O'Higgins;CHL;Universities;4
379;7934;Universidad Nacional de La Pampa *;ARG;Universities;3
381;7943;Universidad Popular Autonoma del Estado de Puebla;MEX;Universities;2
382;7948;Universidad Nacional de San Luis *;ARG;Universities;3
383;7957;Instituto Federal de Educacao, Ciencia e Tecnologia de Pernambuco;BRA;Universities;3
384;7980;Universidade da Regiao de Joinville;BRA;Universities;3
385;7987;Universidade Positivo;BRA;Universities;3
386;7994;Universidade Estadual de Goias;BRA;Universities;3
387;7998;Universidad Metropolitana de Ciencias de la Educacion;CHL;Universities;4
388;7999;Universidad de Guayaquil;ECU;Universities;1
